(300000000, 208, 52, 0),
(300000000, 209, 8, 0),
(300000000, 233, 47, 0),
(300000000, 16, 24, 0),
(300000000, 56, 24, 0),
(300000000, 58, 55, 0),
(300000000, 15, 52, 0),
(300000000, 312, 20, 0),
(300000000, 91, 2, 0),
(300000000, 113, 2, 0),
(300000000, 195, 1, 0),
(300000000, 173, 1, 0),
(300000000, 27, 5, 0),
(300000000, 198, 1, 0),
(300000000, 61, 3, 0),
(300000000, 21, 3, 0),
(300000000, 96, 2, 0),
(300000000, 256, 1, 0),
(300000000, 169, 2, 0),
(300000000, 225, 3, 0),
(300000000, 77, 2, 0),
(300000000, 111, 1, 0),
(300000000, 137, 1, 0),
(300000000, 99, 2, 0),
(300000000, 230, 2, 0),
(300000000, 101, 40, 0),
(300000000, 102, 16, 0),
(300000000, 171, 8, 0),
(300000000, 217, 45, 0),
(300000000, 232, 15, 0),
(300000000, 147, 51, 0),
(300000000, 153, 2, 0),
(300000000, 110, 1, 0),
(300000000, 28, 12, 0),
(300000000, 112, 2, 0),
(300000000, 191, 6, 0),
(300000000, 1405, 4, 0),
(300000000, 123, 3, 0),
(300000000, 269, 1, 0),
(300000000, 196, 1, 0),
(300000000, 267, 1, 0),
(300000000, 268, 1, 0),
(300000000, 270, 1, 0),
(300000000, 265, 1, 0),
(300000000, 98, 5, 0),
(300000000, 264, 1, 0),
(300000000, 402, 10, 0),
(300000000, 407, 10, 0),
(300000000, 266, 1, 0),
(300000000, 306, 1, 0),
(300000000, 304, 1, 0),
(300000000, 308, 1, 0),
(300000000, 305, 1, 0),
(300000000, 986, 25, 0),
(300000000, 988, 3, 0),
(300000000, 19, 37, 0),
(300000000, 303, 4, 0),
(300000000, 24, 31, 0),
(300000000, 415, 3, 0),
(300000000, 416, 3, 0),
(300000000, 413, 8, 0),
(300000000, 323, 1, 0),
(300000000, 324, 1, 0),
(300000000, 933, 1, 0),
(300000000, 194, 1, 0),
(300000000, 239, 7, 0),
(300000000, 1322, 1, 0),
(300000000, 1320, 9, 0),
(300000000, 141, 3, 0),
(300000000, 142, 5, 0),
(300000000, 3, 9, 0),
(300000000, 841, 1, 0),
(300000000, 842, 1, 0),
(300000000, 328, 1, 0),
(300000000, 343, 1, 0),
(300000000, 330, 1, 0),
(300000000, 354, 1, 0),
(300000000, 334, 1, 0),
(300000000, 369, 1, 0),
(300000000, 431, 1, 0),
(300000000, 533, 1, 0),
(300000000, 534, 1, 0),
(300000000, 459, 1, 0),
(300000000, 758, 1, 0),
(300000000, 759, 1, 0),
(300000000, 924, 1, 0),
(300000000, 946, 1, 0),
(300000000, 755, 1, 0),
(300000000, 756, 1, 0),
(300000000, 757, 1, 0),
(300000000, 772, 1, 0),
(300000000, 987, 1, 0),
(300000000, 990, 1, 0),
(300000000, 329, 1, 0),
(300000000, 349, 1, 0),
(300000000, 363, 1, 0),
(300000000, 364, 1, 0),
(300000000, 428, 1, 0),
(300000000, 437, 1, 0),
(300000000, 529, 1, 0),
(300000000, 455, 1, 0),
(300000000, 764, 1, 0),
(300000000, 766, 1, 0),
(300000000, 913, 1, 0),
(300000000, 914, 1, 0),
(300000000, 631, 1, 0),
(300000000, 632, 1, 0),
(300000000, 633, 1, 0),
(300000000, 650, 1, 0),
(300000000, 651, 1, 0),
